Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Variant Id
prod_01KKC5KXM85K6G6DK131TPV3HC,daiwa-j-braid-x4-010-135-yellow-fishing-line,Daiwa J-Braid X4 0.10mm 135m Yellow,published,https://mtvz.bg/products/daiwa-j-braid-x4-010-135-yellow.jpg,variant_01KKC5KXY3F27PYQVR6NGNKPE8
prod_01KKC5KXM86HY8SK17GCM7T1PA,abu-garcia-max-sx-3000-spinning-reel,Abu Garcia Max SX 3000,published,https://mtvz.bg/products/abu-garcia-max-sx-3000.jpg,variant_01KKC5KXY2RZ958DKSVM505VTY
prod_01KKC5KXM871NWF9QCEEW1QY6Z,daiwa-ninja-lt-2500-spinning-reel,Daiwa 23 Ninja LT 2500,published,https://mtvz.bg/products/daiwa-23-ninja-lt-2500.jpg,variant_01KKC5KXY1HSYSD4R0ZFWDT7D7
prod_01KKC5KXM88MPQPDHRRPPT04HW,abu-garcia-max-sx-2500-spinning-reel,Abu Garcia Max SX 2500,published,https://mtvz.bg/products/abu-garcia-max-sx-2500.jpg,variant_01KKC5KXY13J2154GER0J83QC0
prod_01KKC5KXM8CVRX3TXPDXFC32DY,abu-garcia-zata-2500-spinning-reel,Abu Garcia Zata 2500,published,https://mtvz.bg/products/abu-garcia-zata-2500.jpg,variant_01KKC5KXY1S4031T7BKBPXJNBD
prod_01KKC5KXM8E8NDQ2H12MNQ3Q8P,abu-garcia-zata-4000-spinning-reel,Abu Garcia Zata 4000,published,https://mtvz.bg/products/abu-garcia-zata-4000.jpg,variant_01KKC5KXY32PE187BXTVX52HSY
prod_01KKC5KXM8J2TXEV08HT36HCER,okuma-ceymar-a-2000-spinning-reel,Okuma Ceymar A 2000,published,https://mtvz.bg/products/okuma-ceymar-a-2000.jpg,variant_01KKC5KXY0S3P1BEVZTKVX5AYZ
prod_01KKC5KXM8PF72AS0WPY8FM9ZW,daiwa-ninja-lt-2000-spinning-reel,Daiwa 23 Ninja LT 2000,published,https://mtvz.bg/products/daiwa-23-ninja-lt-2000.jpg,variant_01KKC5KXXZXWET8WWV7PARCS2S
prod_01KKC5KXM8W1G03DJD44S9Z6FT,abu-garcia-zata-3000-spinning-reel,Abu Garcia Zata 3000,published,https://mtvz.bg/products/abu-garcia-zata-3000.jpg,variant_01KKC5KXY2Q5DF0NT1P3ZJ34DP
prod_01KKC5KXM8W9Z95R0XT34F0H4X,daiwa-ninja-lt-3000-c-spinning-reel,Daiwa 23 Ninja LT 3000-C,published,https://mtvz.bg/products/daiwa-23-ninja-lt-3000-c.jpg,variant_01KKC5KXY2XV00Y076024CB89W
prod_01KKC5KXM91A9ZGZRB0HMSA6MZ,daiwa-j-braid-x8-016-150-chartreuse-fishing-line,Daiwa J-Braid X8 0.16mm 150m Chartreuse,published,https://mtvz.bg/products/daiwa-j-braid-x8-016-150-chartreuse.jpg,variant_01KKC5KXY4D64ZVAC456YM3XFM
prod_01KKC5KXM96EA81T8810AGTEJ4,daiwa-j-braid-x4-015-135-yellow-fishing-line,Daiwa J-Braid X4 0.15mm 135m Yellow,published,https://mtvz.bg/products/daiwa-j-braid-x4-015-135-yellow.jpg,variant_01KKC5KXY4XX9NEK62CZRX0GAY
prod_01KKC5KXM97E77G4QYWPZQYVCW,daiwa-tournament-fluorocarbon-045-28m-fishing-line,Daiwa Tournament Fluorocarbon 0.45mm 28m,published,https://mtvz.bg/products/daiwa-tournament-fluorocarbon-045-28m.jpg,variant_01KKC5KXY6H8CJ73AVKA0RXV44
prod_01KKC5KXM9CB64GR7K5357B7ZS,daiwa-j-braid-x8-018-150-chartreuse-fishing-line,Daiwa J-Braid X8 0.18mm 150m Chartreuse,published,https://mtvz.bg/products/daiwa-j-braid-x8-018-150-chartreuse.jpg,variant_01KKC5KXY46F0ZBDN0DZ6X78HH
prod_01KKC5KXM9EQ2HAB3A115VR4EH,daiwa-tournament-fluorocarbon-026-50m-fishing-line,Daiwa Tournament Fluorocarbon 0.26mm 50m,published,https://mtvz.bg/products/daiwa-tournament-fluorocarbon-026-50m.jpg,variant_01KKC5KXY544G5DKCX4BT2KADN
prod_01KKC5KXM9GF5J09JZ8MVFGJ2M,daiwa-tournament-fluorocarbon-031-50m-fishing-line,Daiwa Tournament Fluorocarbon 0.31mm 50m,published,https://mtvz.bg/products/daiwa-tournament-fluorocarbon-031-50m.jpg,variant_01KKC5KXY5ER96H6RM29PPS7D8
prod_01KKC5KXM9SCQGPAQ2327MQ59C,daiwa-tournament-fluorocarbon-023-50m-fishing-line,Daiwa Tournament Fluorocarbon 0.23mm 50m,published,https://mtvz.bg/products/daiwa-tournament-fluorocarbon-023-50m.jpg,variant_01KKC5KXY5EPW5XJB8WMTBJ1ZX
